feature,importance,direction
spn,0.7775508,negative
FuelLtd,0.49250132,negative
DistanceLtd,0.41019228,positive
fmi_3,0.37121177,negative
EngineRpm,0.33430043,negative
BarometricPressure,0.29079995,positive
EngineOilTemperature,0.2585731,positive
EngineCoolantTemperature,0.15899016,negative
IntakeManifoldTemperature,0.15759133,negative
fmi_31,0.15116209,positive
FuelRate,0.14515968,negative
fmi_17,0.14430219,negative
EngineOilPressure,0.14146502,positive
fmi_9,0.12692392,positive
EngineLoad,0.0948633,positive
fmi_18,0.055749092,positive
fmi_0,0.04532812,positive
fmi_19,0.042502154,negative
fmi_14,0.028711032,negative
fmi_1,0.02870177,positive
fmi_7,0.023112247,negative
fmi_4,0.017018773,negative
fmi_16,0.014951702,negative
fmi_15,0.008142856,negative
fmi_2,0.007559326,positive
fmi_5,0.0036933813,positive
fmi_20,0.0034946518,positive
fmi_10,0.0031962106,negative
fmi_11,0.002991152,positive
fmi_29,0.0,negative
fmi_23,0.0,negative
fmi_22,0.0,negative
fmi_12,0.0,negative
fmi_6,0.0,negative
fmi_13,0.0,negative
fmi_8,0.0,negative
fmi_21,0.0,negative
